id,State,County,Year,Estimate Gini Index
0500000US12017, Florida,Citrus,2015,0.4638
0500000US12019, Florida,Clay,2015,0.4058
0500000US12021, Florida,Collier,2015,0.5259
0500000US12023, Florida,Columbia,2015,0.429
0500000US12031, Florida,Duval,2015,0.4765
0500000US12033, Florida,Escambia,2015,0.4206
0500000US12035, Florida,Flagler,2015,0.4312
0500000US12053, Florida,Hernando,2015,0.4243
0500000US12055, Florida,Highlands,2015,0.5118
0500000US12057, Florida,Hillsborough,2015,0.4737
0500000US12061, Florida,Indian River,2015,0.5246
0500000US12069, Florida,Lake,2015,0.4086
0500000US12071, Florida,Lee,2015,0.4776
0500000US12073, Florida,Leon,2015,0.4889
0500000US12081, Florida,Manatee,2015,0.4585
0500000US12083, Florida,Marion,2015,0.4422
0500000US12085, Florida,Martin,2015,0.506
0500000US12086, Florida,Miami-Dade,2015,0.5402
0500000US12087, Florida,Monroe,2015,0.505
0500000US12089, Florida,Nassau,2015,0.4645
0500000US12091, Florida,Okaloosa,2015,0.4268
0500000US12095, Florida,Orange,2015,0.4841
0500000US12097, Florida,Osceola,2015,0.4469
0500000US12099, Florida,Palm Beach,2015,0.5172
0500000US12101, Florida,Pasco,2015,0.449
0500000US12103, Florida,Pinellas,2015,0.4937
0500000US12105, Florida,Polk,2015,0.4325
0500000US12107, Florida,Putnam,2015,0.4787
0500000US12109, Florida,St. Johns,2015,0.4949
0500000US12111, Florida,St. Lucie,2015,0.4492
0500000US12113, Florida,Santa Rosa,2015,0.4218
0500000US12115, Florida,Sarasota,2015,0.4716
0500000US12117, Florida,Seminole,2015,0.4629
0500000US12119, Florida,Sumter,2015,0.4335
0500000US12127, Florida,Volusia,2015,0.4673
0500000US13013, Georgia,Barrow,2015,0.4671
0500000US13015, Georgia,Bartow,2015,0.4221
0500000US13021, Georgia,Bibb,2015,0.5105
0500000US13031, Georgia,Bulloch,2015,0.5049
0500000US13045, Georgia,Carroll,2015,0.4816
0500000US13047, Georgia,Catoosa,2015,0.4091
0500000US13051, Georgia,Chatham,2015,0.4637
0500000US13057, Georgia,Cherokee,2015,0.4055
0500000US13059, Georgia,Clarke,2015,0.5462
0500000US13063, Georgia,Clayton,2015,0.4321
0500000US13067, Georgia,Cobb,2015,0.4538
0500000US13073, Georgia,Columbia,2015,0.3946
0500000US13077, Georgia,Coweta,2015,0.4023
0500000US13089, Georgia,DeKalb,2015,0.4822
0500000US13095, Georgia,Dougherty,2015,0.496
0500000US13097, Georgia,Douglas,2015,0.3883
0500000US13113, Georgia,Fayette,2015,0.4491
0500000US13115, Georgia,Floyd,2015,0.4687
0500000US13117, Georgia,Forsyth,2015,0.4081
0500000US13121, Georgia,Fulton,2015,0.5352
0500000US13127, Georgia,Glynn,2015,0.4958
0500000US13135, Georgia,Gwinnett,2015,0.418
0500000US13139, Georgia,Hall,2015,0.4754
0500000US13151, Georgia,Henry,2015,0.3826
0500000US13153, Georgia,Houston,2015,0.4355
0500000US13179, Georgia,Liberty,2015,0.4283
0500000US13185, Georgia,Lowndes,2015,0.4754
0500000US13215, Georgia,Muscogee,2015,0.497
0500000US13217, Georgia,Newton,2015,0.4017
0500000US13223, Georgia,Paulding,2015,0.3844
0500000US13245, Georgia,Richmond,2015,0.4704
0500000US13247, Georgia,Rockdale,2015,0.4037
0500000US13285, Georgia,Troup,2015,0.4832
0500000US13295, Georgia,Walker,2015,0.4495
0500000US13297, Georgia,Walton,2015,0.4309
0500000US13313, Georgia,Whitfield,2015,0.4723
0500000US15001, Hawaii,Hawaii,2015,0.4432
0500000US15003, Hawaii,Honolulu,2015,0.4322
0500000US15007, Hawaii,Kauai,2015,0.4076
0500000US15009, Hawaii,Maui,2015,0.4205
0500000US16001, Idaho,Ada,2015,0.4678
0500000US16005, Idaho,Bannock,2015,0.4656
0500000US16019, Idaho,Bonneville,2015,0.502
0500000US16027, Idaho,Canyon,2015,0.412
0500000US16055, Idaho,Kootenai,2015,0.458
0500000US16083, Idaho,Twin Falls,2015,0.4232
0500000US17001, Illinois,Adams,2015,0.4536
0500000US17019, Illinois,Champaign,2015,0.5061
0500000US17031, Illinois,Cook,2015,0.5094
0500000US17037, Illinois,DeKalb,2015,0.4431
0500000US17043, Illinois,DuPage,2015,0.4562
0500000US17089, Illinois,Kane,2015,0.4461
0500000US17091, Illinois,Kankakee,2015,0.4321
0500000US17093, Illinois,Kendall,2015,0.3791
0500000US17097, Illinois,Lake,2015,0.4818
0500000US17099, Illinois,LaSalle,2015,0.428
0500000US17111, Illinois,McHenry,2015,0.3957
0500000US17113, Illinois,McLean,2015,0.4666
0500000US17115, Illinois,Macon,2015,0.4794
0500000US17119, Illinois,Madison,2015,0.4414
0500000US17143, Illinois,Peoria,2015,0.4812
0500000US17161, Illinois,Rock Island,2015,0.426
0500000US17163, Illinois,St. Clair,2015,0.4639
0500000US17167, Illinois,Sangamon,2015,0.4646
0500000US17179, Illinois,Tazewell,2015,0.4163
0500000US17183, Illinois,Vermilion,2015,0.4523
0500000US17197, Illinois,Will,2015,0.4146
0500000US17199, Illinois,Williamson,2015,0.4731
0500000US17201, Illinois,Winnebago,2015,0.4342
0500000US18003, Indiana,Allen,2015,0.4719
0500000US18005, Indiana,Bartholomew,2015,0.4313
0500000US18019, Indiana,Clark,2015,0.3982
0500000US18035, Indiana,Delaware,2015,0.4544
0500000US18039, Indiana,Elkhart,2015,0.4415
0500000US18043, Indiana,Floyd,2015,0.4406
0500000US18053, Indiana,Grant,2015,0.4043
0500000US18057, Indiana,Hamilton,2015,0.4485
0500000US18059, Indiana,Hancock,2015,0.3651
0500000US18063, Indiana,Hendricks,2015,0.3854
0500000US18067, Indiana,Howard,2015,0.4359
0500000US18081, Indiana,Johnson,2015,0.3956
0500000US18085, Indiana,Kosciusko,2015,0.3985
0500000US18089, Indiana,Lake,2015,0.4424
0500000US18091, Indiana,LaPorte,2015,0.4666
0500000US18095, Indiana,Madison,2015,0.4129
0500000US18097, Indiana,Marion,2015,0.481
0500000US18105, Indiana,Monroe,2015,0.5048
0500000US18109, Indiana,Morgan,2015,0.4115
0500000US18127, Indiana,Porter,2015,0.4337
0500000US18141, Indiana,St. Joseph,2015,0.4575
0500000US18157, Indiana,Tippecanoe,2015,0.4555
0500000US18163, Indiana,Vanderburgh,2015,0.48
0500000US18167, Indiana,Vigo,2015,0.4828
0500000US18177, Indiana,Wayne,2015,0.5028
0500000US19013, Iowa,Black Hawk,2015,0.4605
0500000US19049, Iowa,Dallas,2015,0.4415
0500000US19061, Iowa,Dubuque,2015,0.4187
0500000US19103, Iowa,Johnson,2015,0.4863
0500000US19113, Iowa,Linn,2015,0.4376
0500000US19153, Iowa,Polk,2015,0.45
0500000US19155, Iowa,Pottawattamie,2015,0.4008
0500000US19163, Iowa,Scott,2015,0.4423
0500000US19169, Iowa,Story,2015,0.4818
0500000US19193, Iowa,Woodbury,2015,0.4381
0500000US20015, Kansas,Butler,2015,0.3996
0500000US20045, Kansas,Douglas,2015,0.5017
0500000US20091, Kansas,Johnson,2015,0.4523
0500000US20103, Kansas,Leavenworth,2015,0.4189
0500000US20161, Kansas,Riley,2015,0.468
0500000US20173, Kansas,Sedgwick,2015,0.4641
0500000US20177, Kansas,Shawnee,2015,0.4438
0500000US20209, Kansas,Wyandotte,2015,0.4264
0500000US21015, Kentucky,Boone,2015,0.4368
0500000US21029, Kentucky,Bullitt,2015,0.3664
0500000US21037, Kentucky,Campbell,2015,0.4774
0500000US21047, Kentucky,Christian,2015,0.4036
0500000US21059, Kentucky,Daviess,2015,0.4653
0500000US21067, Kentucky,Fayette,2015,0.5052
0500000US21093, Kentucky,Hardin,2015,0.4206
0500000US21111, Kentucky,Jefferson,2015,0.4773
0500000US21117, Kentucky,Kenton,2015,0.4453
0500000US21145, Kentucky,McCracken,2015,0.5792
0500000US21151, Kentucky,Madison,2015,0.4548
0500000US21195, Kentucky,Pike,2015,0.5096
0500000US21227, Kentucky,Warren,2015,0.4825
0500000US22005, Louisiana,Ascension,2015,0.4089
0500000US22015, Louisiana,Bossier,2015,0.4478
