Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,4048.34382,1,2,2,1,2,1,1,1,1,2,2,3,8,2,1
2014,3199.37758,2,4,2,2,1,1,4,3,1,3,1,3,8,2,1
2014,2606.95842,1,88,4,2,2,1,1,2,4,2,1,3,6,2,1
2014,3206.35099,2,7,4,2,2,1,1,2,1,3,2,3,8,2,3
2014,2807.41324,2,7,2,1,2,3,3,2,1,4,2,3,8,2,1
2014,5541.49804,1,1,1,2,2,1,1,1,1,2,2,3,8,2,1
2014,3083.92397,1,88,4,2,2,1,1,1,1,3,1,3,8,2,1
2014,3128.83807,1,88,3,1,1,1,4,3,5,2,2,3,8,2,1
2014,3048.62455,1,1,1,2,2,1,1,1,1,4,2,3,8,2,3
2014,2800.83881,1,2,4,1,1,1,4,3,3,3,1,3,6,2,1
2014,2900.47044,1,88,3,2,2,2,2,2,5,1,2,3,8,2,4
2014,2925.93497,2,3,2,2,2,1,1,3,0,3,1,3,8,2,1
2014,2727.48202,2,7,3,2,2,1,1,2,0,3,1,3,6,2,1
2014,2629.2758,2,88,3,1,2,1,1,3,1,3,1,3,8,2,3
2014,2793.49439,1,6,2,2,1,1,4,3,5,3,1,3,8,2,1
2014,2617.80061,1,88,4,1,2,1,1,2,1,3,2,3,8,2,1
2014,2584.01583,3,2,5,1,2,1,1,1,1,3,2,3,8,2,1
2014,3993.35069,2,88,1,2,2,1,1,2,0,1,2,3,8,2,3
2014,3993.35069,2,88,1,2,2,1,1,2,0,1,2,3,6,2,1
2014,3993.35069,2,88,1,2,2,1,1,2,0,1,2,3,6,2,1
2014,3916.79776,1,88,4,1,2,3,3,2,3,1,1,3,6,2,1
2014,3916.79776,1,88,4,1,2,3,3,2,3,1,1,3,6,2,1
2014,3377.42443,2,88,2,2,2,2,2,2,0,1,1,3,7,2,2
2014,3377.42443,2,88,2,2,2,2,2,2,0,1,2,3,8,2,1
2014,3520.62239,2,88,2,1,2,1,1,2,1,3,2,3,8,2,1
2014,4644.64021,2,3,2,2,2,3,3,2,1,4,1,3,6,2,1
2014,3133.40158,1,5,2,2,2,1,1,3,2,3,2,3,8,2,1
2014,3535.64384,2,88,2,1,2,1,1,2,1,3,2,3,8,2,1
2014,2609.32715,3,1,3,2,2,2,2,2,1,3,3,3,8,1,1
2014,2512.3332,3,88,3,2,2,1,1,3,0,3,1,3,6,2,1
2014,2721.86236,1,4,3,1,1,1,4,2,5,3,2,3,6,2,1
2014,2721.86236,1,4,3,1,1,1,4,2,5,3,1,3,8,2,3
2014,2167.05733,3,6,4,2,2,3,3,3,0,3,2,3,8,2,5
2014,2580.68822,1,5,4,1,1,1,4,2,4,3,1,3,6,2,1
2014,2696.05313,2,4,4,2,2,1,1,2,0,1,1,3,8,2,1
2014,2531.43071,2,4,5,1,2,1,1,2,1,3,2,3,8,2,1
2014,3331.93656,1,5,4,1,2,1,1,2,4,3,1,3,6,2,1
2014,2903.66536,3,4,2,2,2,3,3,3,1,3,2,3,8,2,1
2014,2941.5082,1,5,2,2,1,1,4,3,5,4,1,3,6,2,1
2014,2653.69407,1,7,3,1,2,3,3,2,4,4,2,3,8,2,3
2014,2653.69407,1,7,3,1,2,3,3,2,4,4,2,3,8,2,3
2014,3076.62084,2,6,2,2,1,1,4,2,1,4,1,3,8,2,3
2014,3675.68211,1,88,3,1,1,3,4,3,3,4,1,3,6,2,1
2014,2840.82145,1,88,3,1,2,1,1,2,3,4,1,3,6,2,1
2014,2584.41749,1,5,4,2,1,1,4,2,5,4,1,3,6,2,1
2014,2584.41749,1,5,4,2,1,1,4,2,5,4,1,3,8,2,1
2014,2584.41749,1,5,4,2,1,1,4,2,5,4,2,3,8,2,1
2014,2622.73374,1,6,5,2,2,1,1,1,3,4,1,3,8,2,1
2014,2533.21356,2,88,4,2,2,1,1,2,1,4,2,3,8,2,1
2014,3121.46191,2,88,4,2,2,1,1,1,0,4,2,3,8,2,3
2014,2933.39392,1,3,2,1,2,1,1,2,2,1,2,3,8,2,1
2014,3207.12547,1,2,4,2,2,1,1,1,1,4,1,3,8,2,1
2014,2828.6434,1,6,3,2,2,3,3,1,2,4,2,3,6,2,1
2014,3056.72502,1,7,4,1,1,1,4,1,1,4,1,3,8,2,1
2014,2523.58955,1,7,4,1,2,1,1,2,3,4,1,3,7,2,1
2014,2747.93025,2,88,4,1,2,1,1,2,1,4,2,3,6,2,1
2014,2683.61814,1,88,3,2,2,1,1,2,2,4,2,3,8,2,1
2014,2589.3223,3,88,4,2,1,1,4,2,0,4,1,3,8,2,1
2014,2664.00491,1,7,4,2,2,1,1,2,2,4,1,3,8,2,3
2014,3557.44237,1,5,2,2,1,1,4,2,3,4,1,3,7,2,1
2014,2124.90302,1,7,2,1,1,3,4,1,5,4,1,3,8,2,3
2014,2800.18037,1,7,5,1,2,1,1,2,4,4,2,3,8,2,5
2014,3319.53712,2,5,4,2,1,1,4,2,1,4,2,3,8,2,1
2014,2512.05934,1,7,5,2,2,1,1,2,5,4,1,3,6,2,1
2014,3277.4089,2,5,4,2,2,1,1,2,0,4,2,3,8,2,1
2014,3295.94674,2,6,2,1,1,1,4,2,1,4,2,3,8,2,1
2014,2566.48738,3,88,2,2,1,1,4,2,0,4,2,3,8,2,3
2014,2566.48738,3,88,2,2,1,1,4,2,0,4,2,3,8,2,1
2014,2566.48738,3,88,2,2,1,1,4,2,0,4,2,3,8,2,1
2014,2566.48738,3,88,2,2,1,1,4,2,0,4,2,3,8,2,1
2014,2566.48738,3,88,2,2,1,1,4,2,0,4,2,3,8,2,1
2014,3298.32042,1,88,2,2,1,1,4,2,3,4,1,3,6,2,1
2014,3096.83157,2,88,4,2,2,1,1,2,1,4,1,3,8,2,1
