id,Geographic Area Name,Estimate Gini Index
0400000US23,Maine,0.4516
0400000US37,North Carolina,0.4782
0400000US13,Georgia,0.4822
0400000US02,Alaska,0.4322
0400000US01,Alabama,0.4859
0400000US50,Vermont,0.4473
0400000US32,Nevada,0.469
0400000US54,West Virginia,0.4742
0400000US40,Oklahoma,0.4687
0400000US55,Wisconsin,0.4483
0400000US72,Puerto Rico,0.5424
0400000US51,Virginia,0.4754
0400000US38,North Dakota,0.4427
0400000US45,South Carolina,0.4762
0400000US41,Oregon,0.4582
0400000US56,Wyoming,0.4555
0400000US06,California,0.4912
0400000US28,Mississippi,0.4828
0400000US09,Connecticut,0.5014
0400000US48,Texas,0.4822
0400000US24,Maryland,0.4543
0400000US12,Florida,0.4887
0400000US25,Massachusetts,0.4875
0400000US11,District of Columbia,0.5243
0400000US49,Utah,0.4269
0400000US36,New York,0.513
0400000US34,New Jersey,0.4836
0400000US39,Ohio,0.4667
0400000US29,Missouri,0.4657
0400000US42,Pennsylvania,0.4747
0400000US26,Michigan,0.4679
0400000US31,Nebraska,0.4488
0400000US16,Idaho,0.4454
0400000US35,New Mexico,0.4891
0400000US15,Hawaii,0.445
0400000US46,South Dakota,0.4445
0400000US53,Washington,0.4574
0400000US44,Rhode Island,0.47
0400000US04,Arizona,0.4613
0400000US47,Tennessee,0.4778
0400000US20,Kansas,0.4633
0400000US08,Colorado,0.4561
0400000US18,Indiana,0.4511
0400000US21,Kentucky,0.4787
0400000US22,Louisiana,0.4936
0400000US17,Illinois,0.4852
0400000US19,Iowa,0.4413
0400000US33,New Hampshire,0.453
0400000US05,Arkansas,0.4845
0400000US10,Delaware,0.4587
0400000US27,Minnesota,0.4536
0400000US30,Montana,0.4535
