id,Geographic Area Name,Estimate Gini Index
0400000US12,Florida,0.4852
0400000US13,Georgia,0.4813
0400000US15,Hawaii,0.442
0400000US16,Idaho,0.4503
0400000US17,Illinois,0.481
0400000US18,Indiana,0.4527
0400000US19,Iowa,0.4451
0400000US20,Kansas,0.455
0400000US21,Kentucky,0.4813
0400000US22,Louisiana,0.499
0400000US23,Maine,0.4519
0400000US24,Maryland,0.4499
0400000US25,Massachusetts,0.4786
0400000US26,Michigan,0.4695
0400000US27,Minnesota,0.4496
0400000US28,Mississippi,0.4828
0400000US29,Missouri,0.4646
0400000US30,Montana,0.4667
0400000US31,Nebraska,0.4477
0400000US32,Nevada,0.4577
0400000US33,New Hampshire,0.4304
0400000US34,New Jersey,0.4813
0400000US35,New Mexico,0.4769
0400000US36,New York,0.5129
0400000US37,North Carolina,0.478
0400000US38,North Dakota,0.4533
0400000US39,Ohio,0.468
0400000US40,Oklahoma,0.4645
0400000US41,Oregon,0.4583
0400000US42,Pennsylvania,0.4689
0400000US44,Rhode Island,0.4781
0400000US45,South Carolina,0.4735
0400000US46,South Dakota,0.4495
0400000US47,Tennessee,0.479
0400000US48,Texas,0.48
0400000US49,Utah,0.4263
0400000US50,Vermont,0.4539
0400000US51,Virginia,0.4705
0400000US53,Washington,0.4591
0400000US54,West Virginia,0.4711
0400000US55,Wisconsin,0.4498
0400000US56,Wyoming,0.436
0400000US72,Puerto Rico,0.5419
0400000US01,Alabama,0.4847
0400000US02,Alaska,0.4081
0400000US04,Arizona,0.4713
0400000US05,Arkansas,0.4719
0400000US06,California,0.4899
0400000US08,Colorado,0.4586
0400000US09,Connecticut,0.4945
0400000US10,Delaware,0.4522
0400000US11,District of Columbia,0.542
